Year,Reg,Group,Sex,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
2015,1117,R,B,3135,13640,15201,13817,12356,15408,22958,22165,20827,19990,19697,24728,27458,22851,16638,9869,14777,8221,6308
2015,1117,R,M,1603,7055,7915,7050,6751,8758,12315,11869,10953,10165,9745,11843,12588,9756,6554,3218,4124,1945,1102
2015,1117,R,F,1532,6585,7286,6767,5605,6651,10644,10296,9874,9826,9952,12885,14870,13096,10084,6651,10653,6276,5206
2015,1120,T,B,25452,98179,107804,97631,102851,147723,193416,183097,163834,155688,146695,175685,189032,158745,121392,69080,100271,50530,45211
2015,1120,T,M,13100,50267,55466,50269,53323,75846,97580,92293,80810,75212,70153,81480,84345,66696,46929,22713,30001,13251,9694
2015,1120,T,F,12352,47912,52339,47362,49528,71877,95837,90804,83024,80476,76542,94205,104688,92049,74463,46367,70271,37280,35517
2015,1120,U,B,17881,65490,70897,62055,70565,112909,138561,129490,113647,104712,94964,112727,122655,105468,81915,43027,60725,28805,26948
2015,1120,U,M,9217,33558,36561,31910,36787,57893,68426,64074,55445,49729,44183,50154,52283,42926,30955,14101,17989,7437,5989
2015,1120,U,F,8664,31932,34337,30145,33779,55016,70135,65416,58202,54983,50782,62574,70372,62543,50960,28927,42737,21368,20960
2015,1120,R,B,7571,32689,36907,35577,32286,34815,54856,53607,50187,50976,51731,62958,66378,53277,39478,26053,39546,21726,18263
2015,1120,R,M,3883,16709,18905,18359,16537,17954,29154,28220,25365,25483,25970,31327,32062,23771,15975,8613,12012,5814,3706
2015,1120,R,F,3688,15980,18002,17218,15750,16861,25702,25388,24823,25493,25761,31632,34316,29506,23503,17440,27534,15912,14558
2015,1124,T,B,11609,44907,52032,46411,41664,61841,84499,78965,74540,72686,66273,76033,79828,74553,55225,28833,42696,22909,17874
2015,1124,T,M,5933,22940,26538,23805,21305,32282,43810,40544,36766,34983,30962,34500,33728,28828,19953,8626,11099,4770,3081
2015,1124,T,F,5677,21968,25494,22606,20359,29559,40689,38421,37774,37703,35312,41534,46100,45725,35272,20207,31597,18139,14793
2015,1124,U,B,9697,37186,43433,38607,34651,52495,68971,64180,61282,59808,53609,59727,62309,59636,45031,23118,33954,17817,14294
2015,1124,U,M,4936,18976,22197,19771,17696,27401,34678,31802,29136,27930,24446,26484,25424,22265,15821,6787,8536,3618,2409
2015,1124,U,F,4761,18210,21236,18837,16955,25094,34293,32378,32146,31878,29164,33243,36885,37372,29211,16331,25419,14199,11885
2015,1124,R,B,1912,7722,8599,7804,7014,9346,15528,14785,13258,12878,12664,16307,17519,14917,10194,5715,8742,5092,3580
2015,1124,R,M,997,3964,4341,4035,3609,4881,9132,8742,7630,7054,6516,8016,8304,6564,4133,1839,2564,1152,672
2015,1124,R,F,916,3758,4258,3770,3405,4465,6396,6043,5628,5825,6148,8291,9216,8354,6061,3876,6178,3940,2908
2015,1129,T,B,12283,45620,49478,44462,41520,54961,84636,82260,74285,69531,64197,77134,82771,69639,52124,28789,40363,19794,16288
2015,1129,T,M,6321,23414,25343,22637,21550,28996,44262,42820,37351,33902,30826,35344,36258,28442,19947,9378,11566,4867,3113
2015,1129,T,F,5962,22206,24135,21826,19970,25965,40375,39441,36934,35630,33371,41790,46513,41198,32177,19411,28797,14927,13176
2015,1129,U,B,9412,34044,37158,33496,31295,42193,65112,63965,57591,53824,48666,58633,63010,53914,40651,21608,29526,13856,11409
2015,1129,U,M,4835,17460,19038,17060,16154,22002,33806,32994,28446,25818,22860,26106,26665,21430,15267,7028,8474,3486,2293
2015,1129,U,F,4577,16584,18120,16436,15142,20192,31306,30971,29145,28006,25806,32527,36345,32484,25384,14580,21052,10370,9117
2015,1129,R,B,2871,11576,12320,10967,10225,12768,19525,18295,16694,15708,15531,18501,19761,15725,11473,7181,10837,5938,4879
2015,1129,R,M,1486,5954,6306,5577,5396,6995,10456,9826,8905,8084,7966,9238,9593,7012,4680,2350,3092,1382,820
2015,1129,R,F,1385,5622,6015,5390,4829,5773,9069,8470,7789,7624,7565,9263,10168,8714,6794,4831,7745,4557,4059
2015,1134,T,B,8134,32747,36162,32084,28904,33944,48763,50394,47061,43807,40806,50491,55681,46615,32328,16532,24779,13856,9836
2015,1134,T,M,4197,16830,18436,16387,14750,17832,25351,25561,23130,21025,19234,23291,24483,19218,12543,5226,6703,3138,1766
2015,1134,T,F,3937,15917,17726,15698,14154,16112,23412,24833,23932,22783,21572,27201,31199,27397,19785,11307,18076,10719,8070
2015,1134,U,B,6003,23409,26878,23012,21363,26181,37385,39284,35104,31661,27874,33556,36441,31487,22597,11434,16955,8966,6548
2015,1134,U,M,3090,11977,13716,11708,10865,13510,18599,19400,17051,15008,12884,15004,15271,12423,8452,3524,4417,1987,1217
2015,1134,U,F,2913,11432,13162,11305,10498,12671,18787,19885,18053,16653,14990,18552,21170,19064,14146,7910,12539,6979,5331
2015,1134,R,B,2131,9338,9284,9072,7542,7763,11378,11110,11958,12146,12932,16936,19240,15129,9731,5098,7824,4890,3288
2015,1134,R,M,1107,4853,4720,4679,3885,4322,6753,6162,6079,6017,6351,8287,9212,6796,4092,1702,2286,1151,550
2015,1134,R,F,1024,4485,4564,4393,3657,3442,4625,4949,5879,6130,6582,8649,10029,8333,5639,3397,5538,3740,2739
2015,1138,T,B,13126,52017,55967,50233,51700,63450,83931,82553,77814,75701,72455,88546,96057,78282,56382,32476,46923,22337,18754
2015,1138,T,M,6720,26764,28627,25732,26329,31363,41774,41375,37542,36057,34268,41295,42731,32486,21528,10310,13301,5585,3694
2015,1138,T,F,6407,25253,27340,24502,25371,32087,42157,41178,40272,39645,38187,47252,53326,45796,34854,22166,33622,16752,15060
2015,1138,U,B,9239,34698,38213,33062,35028,48078,62291,61187,56340,51464,45756,56159,62472,52897,37408,18674,25848,11378,10562
2015,1138,U,M,4737,17756,19521,16950,17579,22909,29944,29959,26897,24225,20842,24803,25990,21066,14066,5959,7301,2747,2066
2015,1138,U,F,4502,16942,18693,16112,17449,25169,32347,31229,29443,27239,24914,31356,36482,31831,23342,12715,18548,8631,8497
2015,1138,R,B,3888,17319,17754,17172,16672,15372,21640,21366,21475,24238,26699,32387,33586,25385,18974,13802,21075,10959,8192
2015,1138,R,M,1983,9008,9107,8782,8750,8454,11830,11417,10646,11832,13426,16492,16742,11420,7462,4352,6000,2838,1629
2015,1138,R,F,1905,8311,8648,8390,7922,6918,9811,9949,10829,12406,13274,15896,16844,13965,11512,9451,15075,8121,6564
2015,1142,T,B,13277,51797,60392,53945,49181,60353,90511,89886,83309,80729,75883,90212,96114,79676,58874,34416,46446,23429,18553
2015,1142,T,M,6808,26546,30866,27959,25034,29496,45445,45330,41245,39046,36235,41832,42884,33005,22495,10963,13235,5857,3561
2015,1142,T,F,6469,25251,29526,25987,24147,30857,45066,44556,42064,41684,39649,48381,53230,46672,36379,23453,33211,17572,14993
